Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester United,42,24,12,6,67,31,36,84,1992-93,1
Aston Villa,42,21,11,10,57,40,17,74,1992-93,2
Norwich City,42,21,9,12,61,65,-4,72,1992-93,3
Blackburn Rovers,42,20,11,11,68,46,22,71,1992-93,4
Queens Park Rangers,42,17,12,13,63,55,8,63,1992-93,5
Liverpool,42,16,11,15,62,55,7,59,1992-93,6
Sheffield Wednesday,42,15,14,13,55,51,4,59,1992-93,7
Tottenham Hotspur,42,16,11,15,60,66,-6,59,1992-93,8
Manchester City,42,15,12,15,56,51,5,57,1992-93,9
Arsenal,42,15,11,16,40,38,2,56,1992-93,10
Chelsea,42,14,14,14,51,54,-3,56,1992-93,11
Wimbledon,42,14,12,16,56,55,1,54,1992-93,12
Everton,42,15,8,19,53,55,-2,53,1992-93,13
Sheffield United,42,14,10,18,54,53,1,52,1992-93,14
Coventry City,42,13,13,16,52,57,-5,52,1992-93,15
Ipswich Town,42,12,16,14,50,55,-5,52,1992-93,16
Leeds United,42,12,15,15,57,62,-5,51,1992-93,17
Southampton,42,13,11,18,54,61,-7,50,1992-93,18
Oldham Athletic,42,13,10,19,63,74,-11,49,1992-93,19
Crystal Palace,42,11,16,15,48,61,-13,49,1992-93,20
Middlesbrough,42,11,11,20,54,75,-21,44,1992-93,21
Nottingham Forest,42,10,10,22,41,62,-21,40,1992-93,22
